idx,a,b,c,d,e,a^2,b^2,c^2,d^2,e^2,ab,ac,ad,ae,bc,bd,be,cd,ce,de,extra,y
1,-1,-1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,66.6
2,1,-1,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,64.7
3,-1,1,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,54.9
4,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,48.8
5,1,0,-1,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,66.7
6,1,0,-1,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,64
7,-1,0,1,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,56.2
8,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,50.1
9,0,0,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,69.8
10,0,0,1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,1,57.3
11,0,0,-1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,1,62.1
12,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,51.3
13,0,0,0,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,66
14,0,0,0,1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,1,61.6
15,0,0,0,-1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,1,59.7
16,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,50.9
17,0,-1,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,71.2
18,0,1,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,56.7
19,0,-1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,61.5
20,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,61.6
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59.2
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59.1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59.2
24,-1,0,0,-1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,62.8
25,1,0,0,-1,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,59.4
26,-1,0,0,1,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,53
27,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,59.6
28,-1,0,0,0,-1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,65.4
29,1,0,0,0,-1,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1,60.3
30,-1,0,0,0,1,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1,56.5
31,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,52.2
32,0,-1,-1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,69.8
33,0,1,-1,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,69.8
34,0,-1,1,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,63.2
35,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,46.4
36,0,-1,0,-1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,70.3
37,0,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,50
38,0,-1,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,62.5
39,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,49.9
40,0,0,-1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,70.9
41,0,0,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,1,58.3
42,0,0,-1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,1,61.1
43,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,50.5
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59.1
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59.1
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59.2
