idx,a,b,c,d,e,a^2,b^2,c^2,d^2,e^2,ab,ac,ad,ae,bc,bd,be,cd,ce,de,extra
1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
5,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
6,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
7,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
8,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
9,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
10,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
