,未使用,A,B,C,D,E,F,G,N1u1,N2u1,N1u2,N2u2,beta,SN
1,-1,-1,-1,-1,-1,-1,-1,-1,15.93,-10.84,25.4,-6.66,1.9,-6.68
2,-1,-1,-1,0,0,0,0,0,16.61,-12.59,24.92,-4.57,2.03,-6.02
3,-1,-1,-1,1,1,1,1,1,17.32,-13.96,24.04,-7.24,1.68,8.24
4,-1,0,-1,-1,0,1,1,0,15.72,-12.17,22.82,-5.06,1.78,-6.76
5,-1,0,0,0,1,1,-1,-1,16.37,-13.2,22.71,-6.86,1.59,8.26
6,-1,0,1,1,-1,-1,0,0,16.88,-13.44,23.77,-6.56,1.72,-7.76
7,-1,1,-1,0,-1,1,0,1,15.38,-12.26,21.6,-6.04,1.56,-7.83
8,-1,1,0,0,0,0,0,0,16.4,-13.35,22.51,-7.24,1.53,-8.64
9,-1,1,1,-1,1,0,-1,0,17.01,-14.09,22.84,8.26,1.49,-9.42
10,0,-1,-1,1,1,0,0,-1,16.82,-12.57,25.32,-4.07,2.13,-5.66
11,0,-1,0,-1,-1,1,1,0,16.05,-12.19,23.02,-4.44,1.86,-6.34
12,0,-1,1,0,0,-1,-1,1,17.21,-12.94,27.23,-4.4,2.28,-5.49
13,0,0,-1,0,1,-1,1,0,16.43,-12.61,24.07,-4.97,1.91,-6.48
14,0,0,0,1,-1,0,-1,1,16.55,-13.06,23.51,-6.09,1.74,-7.45
15,0,0,1,-1,0,1,0,-1,16.58,-13.57,22.59,-7.56,1.5,-8.89
16,0,1,-1,1,0,1,-1,0,15.82,-12.65,22.17,6.3,1.59,-7.92
17,0,1,0,-1,1,-1,0,1,16.48,13.29,22.85,6.93,1.59,8.28
18,0,1,1,0,-1,0,1,-1,16.36,-13.63,21.83,-8.16,1.37,-9.67
,,,,,,,,,,,,,,
